Bacteria	Feature	estimate	se	t	p value	N	FDR
s__Lactobacillus_jensenii	INCOME2	-3,37E-02	1,22E-01	-2,76E-01	7,83E-01	2656	9,23E-01
s__Allisonella_histaminiformans	INCOME2	3,89E-02	1,41E-01	2,76E-01	7,83E-01	2656	9,23E-01
s__Lactobacillus_gasseri	MENSTRUAL_PHASE_REG2	-6,75E-02	2,46E-01	-2,74E-01	7,84E-01	3657	9,23E-01
s__Fusobacterium_nucleatum	MENSTRUAL_PHASE_REG3	1,49E-02	5,47E-02	2,72E-01	7,86E-01	3657	9,23E-01
s__Bifidobacterium_dentium	MENSTRUAL_REGULAR	2,82E-02	1,03E-01	2,75E-01	7,83E-01	4899	9,23E-01
s__Finegoldia_magna	PARITY1	-2,71E-02	9,96E-02	-2,72E-01	7,86E-01	3122	9,23E-01
s__Sneathia_amnii	PARITY2	-4,67E-02	1,66E-01	-2,81E-01	7,79E-01	2832	9,23E-01
s__Atopobium_vaginae	PS_DIABETES	6,10E-02	2,24E-01	2,73E-01	7,85E-01	5297	9,23E-01
s__Sneathia_sanguinegens	SYM_BLEDDING	4,60E-02	1,69E-01	2,72E-01	7,85E-01	5298	9,23E-01
g__Shuttleworthia	SYM_URIOSP	-2,14E-02	8,01E-02	-2,68E-01	7,89E-01	5300	9,25E-01
s__Bifidobacterium_dentium	SYM_ABDPAIN	-2,14E-02	8,04E-02	-2,66E-01	7,90E-01	5321	9,25E-01
s__Veillonella_montpellierensis	DRUG_ESTROGEN	-9,30E-02	3,52E-01	-2,64E-01	7,92E-01	4825	9,26E-01
s__Megasphaera_lornae	ADVERSE_PREGNANCY1	-3,84E-02	1,50E-01	-2,57E-01	7,97E-01	3704	9,31E-01
s__Aerococcus_christensenii	ADVERSE_PREGNANCY1	3,30E-02	1,30E-01	2,54E-01	7,99E-01	3704	9,31E-01
f__Enterobacteriaceae	DRUG_ANTIBIOTICS	-4,82E-02	1,91E-01	-2,53E-01	8,00E-01	4828	9,31E-01
s__Lactobacillus_iners	EDU_CAT2	2,88E-02	1,15E-01	2,50E-01	8,02E-01	2506	9,31E-01
s__Lactobacillus_vaginalis	EXA_CERECT	-3,69E-02	1,47E-01	-2,50E-01	8,02E-01	3625	9,31E-01
s__Bifidobacterium_dentium	MENSTRUAL_PHASE_REG1	-1,63E-02	6,49E-02	-2,51E-01	8,02E-01	3657	9,31E-01
s__Coriobacteriales_bacterium	MENSTRUAL_PHASE_REG2	-6,12E-02	2,42E-01	-2,53E-01	8,00E-01	3657	9,31E-01
s__Coriobacteriales_bacterium	SYM_BLEDDING	4,08E-02	1,62E-01	2,51E-01	8,02E-01	5298	9,31E-01
s__Mageeibacillus_indolicus	WAISTLINE	-2,50E-03	9,86E-03	-2,54E-01	8,00E-01	1975	9,31E-01
s__Gardnerella_vaginalis	DRUG_GLULIP	-7,12E-02	2,86E-01	-2,49E-01	8,03E-01	4827	9,31E-01
s__Aerococcus_christensenii	DRUG_GLULIP	9,99E-02	4,05E-01	2,47E-01	8,05E-01	4827	9,32E-01
s__Mageeibacillus_indolicus	EXA_ORDOR	-4,46E-02	1,81E-01	-2,47E-01	8,05E-01	4810	9,32E-01
s__Megasphaera_hutchinsoni	DRUG_GLULIP	-9,83E-02	4,05E-01	-2,42E-01	8,09E-01	4827	9,33E-01
s__Prevotella_colorans	EXA_CERDIS	-3,05E-02	1,25E-01	-2,44E-01	8,08E-01	4864	9,33E-01
s__Gardnerella_vaginalis	SYM_ABDPAIN	1,94E-02	7,99E-02	2,43E-01	8,08E-01	5321	9,33E-01
s__Mageeibacillus_indolicus	ALCOHOL_CAT	-2,28E-02	9,85E-02	-2,32E-01	8,17E-01	5279	9,35E-01
s__Bifidobacterium_breve	ALCOHOL_CAT	-1,82E-02	7,83E-02	-2,33E-01	8,16E-01	5279	9,35E-01
s__Ureaplasma_parvum	DRUG_ESTROGEN	9,15E-02	3,94E-01	2,32E-01	8,16E-01	4825	9,35E-01
s__Prevotella_colorans	MENSTRUAL_PHASE_REG3	1,73E-02	7,36E-02	2,35E-01	8,14E-01	3657	9,35E-01
s__Prevotella_timonensis	PARITY1	-3,47E-02	1,48E-01	-2,33E-01	8,15E-01	3122	9,35E-01
s__Prevotella_timonensis	PS_HYPERTENSION	6,66E-02	2,82E-01	2,36E-01	8,13E-01	5296	9,35E-01
s__Lactobacillus_crispatus	SEX_PARTNER_CAT	-3,04E-02	1,29E-01	-2,35E-01	8,14E-01	5165	9,35E-01
s__Aerococcus_christensenii	SYM_YYD	-3,40E-02	1,46E-01	-2,33E-01	8,16E-01	5198	9,35E-01
s__Allisonella_histaminiformans	WAISTLINE	-2,24E-03	9,51E-03	-2,35E-01	8,14E-01	1975	9,35E-01
s__Bifidobacterium_dentium	SYM_PAINBLE	2,22E-02	9,67E-02	2,30E-01	8,18E-01	5305	9,36E-01
s__Lactobacillus_iners	BMI	1,38E-03	6,44E-03	2,15E-01	8,30E-01	5437	9,40E-01
s__Finegoldia_magna	DRUG_ESTROGEN	-6,32E-02	2,95E-01	-2,14E-01	8,30E-01	4825	9,40E-01
s__Allisonella_histaminiformans	DRUG_GLULIP	9,45E-02	4,25E-01	2,22E-01	8,24E-01	4827	9,40E-01
s__Ureaplasma_parvum	EDU_CAT2	-4,86E-02	2,21E-01	-2,20E-01	8,26E-01	2506	9,40E-01
s__Megasphaera_hutchinsoni	EXA_VAGWAL	4,36E-02	1,98E-01	2,20E-01	8,26E-01	4793	9,40E-01
s__Finegoldia_magna	GRAVITY2	-2,29E-02	1,03E-01	-2,22E-01	8,24E-01	3991	9,40E-01
s__Mageeibacillus_indolicus	PARITY2	3,39E-02	1,63E-01	2,08E-01	8,35E-01	2832	9,40E-01
s__Bifidobacterium_breve	PS_DIABETES	-5,54E-02	2,55E-01	-2,18E-01	8,28E-01	5297	9,40E-01
s__Bifidobacterium_breve	PS_HYPERTENSION	4,68E-02	2,25E-01	2,08E-01	8,35E-01	5296	9,40E-01
s__Atopobium_vaginae	PS_HYPERTENSION	4,16E-02	1,96E-01	2,12E-01	8,32E-01	5296	9,40E-01
s__Lactobacillus_vaginalis	SEX72	6,96E-02	3,21E-01	2,17E-01	8,28E-01	4976	9,40E-01
s__Bifidobacterium_dentium	SEX72	-4,07E-02	1,87E-01	-2,17E-01	8,28E-01	4976	9,40E-01
s__Allisonella_histaminiformans	SEX72	6,14E-02	2,94E-01	2,09E-01	8,35E-01	4976	9,40E-01
g__Shuttleworthia	SMOKING_CAT	3,18E-02	1,48E-01	2,15E-01	8,30E-01	5246	9,40E-01
s__Prevotella_amnii	SYM_BLEDDING	3,61E-02	1,72E-01	2,10E-01	8,33E-01	5298	9,40E-01
s__Veillonella_montpellierensis	SYM_ITCHING	1,68E-02	7,98E-02	2,10E-01	8,33E-01	5347	9,40E-01
s__Atopobium_vaginae	SYM_URIOSP	-1,79E-02	8,44E-02	-2,12E-01	8,32E-01	5300	9,40E-01
s__Lactobacillus_jensenii	WAISTLINE	-1,75E-03	7,95E-03	-2,20E-01	8,26E-01	1975	9,40E-01
s__Aerococcus_christensenii	MENSTRUAL_PHASE_REG1	1,92E-02	9,44E-02	2,04E-01	8,39E-01	3657	9,41E-01
s__Prevotella_colorans	PARITY2	2,34E-02	1,15E-01	2,04E-01	8,39E-01	2832	9,41E-01
s__Aerococcus_christensenii	SMOKING_CAT	4,22E-02	2,05E-01	2,06E-01	8,37E-01	5246	9,41E-01
s__Megasphaera_lornae	SYM_YYD	-3,47E-02	1,68E-01	-2,06E-01	8,37E-01	5198	9,41E-01
s__Aerococcus_christensenii	WAISTLINE	1,82E-03	8,93E-03	2,04E-01	8,38E-01	1975	9,41E-01
s__Aerococcus_christensenii	MENSTRUAL_PHASE_REG2	4,44E-02	2,21E-01	2,01E-01	8,41E-01	3657	9,42E-01
s__Prevotella_colorans	EXA_VAGWAL	-3,06E-02	1,57E-01	-1,95E-01	8,45E-01	4793	9,46E-01
s__Veillonella_montpellierensis	EXA_ORDOR	-2,75E-02	1,42E-01	-1,93E-01	8,47E-01	4810	9,47E-01
s__Lactobacillus_gasseri	MENSTRUAL_PHASE_REG3	-2,00E-02	1,04E-01	-1,92E-01	8,48E-01	3657	9,48E-01
s__Streptococcus_anginosus	EDU_CAT2	3,62E-02	1,92E-01	1,88E-01	8,51E-01	2506	9,48E-01
s__Megasphaera_hutchinsoni	GRAVITY1	-2,92E-02	1,53E-01	-1,90E-01	8,49E-01	1854	9,48E-01
s__Lactobacillus_gasseri	PS_UTI	-2,86E-02	1,52E-01	-1,88E-01	8,51E-01	5217	9,48E-01
s__Prevotella_timonensis	DRUG_ANTIBIOTICS	-5,93E-02	3,25E-01	-1,83E-01	8,55E-01	4828	9,48E-01
s__Veillonella_montpellierensis	DRUG_GLULIP	6,37E-02	3,47E-01	1,84E-01	8,54E-01	4827	9,48E-01
f__Enterobacteriaceae	EDU_CAT1	-1,08E-02	5,89E-02	-1,84E-01	8,54E-01	4412	9,48E-01
s__Streptococcus_anginosus	EXA_CERBLE	-2,49E-02	1,34E-01	-1,86E-01	8,53E-01	4782	9,48E-01
s__Streptococcus_anginosus	MENSTRUAL_PHASE_REG1	1,44E-02	7,91E-02	1,83E-01	8,55E-01	3657	9,48E-01
s__Dialister_micraerophilus	WAISTLINE	1,74E-03	9,48E-03	1,84E-01	8,54E-01	1975	9,48E-01
s__Aerococcus_christensenii	EXA_CERDIS	-2,88E-02	1,60E-01	-1,80E-01	8,57E-01	4864	9,49E-01
s__Finegoldia_magna	PS_UTI	1,76E-02	9,79E-02	1,80E-01	8,57E-01	5217	9,49E-01
s__Veillonella_montpellierensis	EXA_CERDIS	2,44E-02	1,37E-01	1,78E-01	8,59E-01	4864	9,50E-01
s__Sneathia_sanguinegens	DRUG_ESTROGEN	8,15E-02	4,69E-01	1,74E-01	8,62E-01	4825	9,51E-01
s__Lactobacillus_vaginalis	DRUG_ESTROGEN	-8,12E-02	4,69E-01	-1,73E-01	8,63E-01	4825	9,51E-01
s__Lactobacillus_crispatus	INCOME1	-1,31E-02	7,61E-02	-1,72E-01	8,63E-01	2471	9,51E-01
s__Veillonella_montpellierensis	MENSTRUAL_REGULAR	2,13E-02	1,23E-01	1,73E-01	8,63E-01	4899	9,51E-01
s__Lactobacillus_crispatus	SYM_YYD	-1,46E-02	8,46E-02	-1,72E-01	8,63E-01	5198	9,51E-01
s__Dialister_micraerophilus	MENSTRUAL_PHASE_REG1	1,70E-02	9,92E-02	1,71E-01	8,64E-01	3657	9,51E-01
s__Veillonella_montpellierensis	SYM_ABDPAIN	-1,66E-02	9,83E-02	-1,69E-01	8,66E-01	5321	9,52E-01
s__Prevotella_timonensis	ALCOHOL_CAT	-1,64E-02	9,86E-02	-1,66E-01	8,68E-01	5279	9,53E-01
s__Allisonella_histaminiformans	DRUG_ANTIBIOTICS	5,21E-02	3,12E-01	1,67E-01	8,67E-01	4828	9,53E-01
s__Bifidobacterium_breve	DRUG_GLULIP	5,81E-02	3,59E-01	1,62E-01	8,71E-01	4827	9,54E-01
g__Shuttleworthia	EDU_CAT1	9,95E-03	6,20E-02	1,60E-01	8,73E-01	4412	9,54E-01
s__Prevotella_bivia	EXA_CERECT	2,22E-02	1,36E-01	1,63E-01	8,70E-01	3625	9,54E-01
s__Streptococcus_anginosus	INCOME2	-1,92E-02	1,19E-01	-1,61E-01	8,72E-01	2656	9,54E-01
g__Shuttleworthia	MENSTRUAL_PHASE_REG2	-2,54E-02	1,57E-01	-1,62E-01	8,71E-01	3657	9,54E-01
s__Veillonella_montpellierensis	ADVERSE_PREGNANCY2	2,09E-02	1,32E-01	1,58E-01	8,75E-01	3519	9,54E-01
s__Finegoldia_magna	BIRTH_CONTROL1	2,03E-02	1,32E-01	1,54E-01	8,78E-01	1275	9,54E-01
s__Coriobacteriales_bacterium	DRUG_ANTIBIOTICS	4,89E-02	3,24E-01	1,51E-01	8,80E-01	4828	9,54E-01
s__Ureaplasma_parvum	EXA_CERDIS	-2,40E-02	1,55E-01	-1,55E-01	8,77E-01	4864	9,54E-01
s__Bifidobacterium_dentium	GRAVITY1	-1,72E-02	1,15E-01	-1,50E-01	8,81E-01	1854	9,54E-01
s__Anaerococcus_tetradius	MENSTRUAL_REGULAR	-1,96E-02	1,31E-01	-1,50E-01	8,81E-01	4899	9,54E-01
s__Dialister_micraerophilus	PS_DIABETES	4,83E-02	3,11E-01	1,55E-01	8,76E-01	5297	9,54E-01
s__Allisonella_histaminiformans	PS_DIABETES	-4,69E-02	3,08E-01	-1,52E-01	8,79E-01	5297	9,54E-01
s__Dialister_micraerophilus	PS_HYPERTENSION	4,13E-02	2,74E-01	1,51E-01	8,80E-01	5296	9,54E-01
s__Megasphaera_hutchinsoni	SYM_BLEDDING	-2,22E-02	1,48E-01	-1,50E-01	8,81E-01	5298	9,54E-01
s__Lactobacillus_vaginalis	SYM_YYD	-2,55E-02	1,67E-01	-1,53E-01	8,78E-01	5198	9,54E-01
s__Lactobacillus_iners	EXA_VAGWAL	-1,39E-02	9,72E-02	-1,43E-01	8,86E-01	4793	9,57E-01
s__Dialister_micraerophilus	PARITY1	-2,06E-02	1,43E-01	-1,44E-01	8,85E-01	3122	9,57E-01
s__Finegoldia_magna	SYM_PAINBLE	-1,43E-02	9,89E-02	-1,45E-01	8,85E-01	5305	9,57E-01
s__Prevotella_bivia	SYM_URIOSP	-1,66E-02	1,16E-01	-1,42E-01	8,87E-01	5300	9,57E-01
s__Gardnerella_vaginalis	ADVERSE_PREGNANCY2	-1,56E-02	1,10E-01	-1,41E-01	8,88E-01	3519	9,58E-01
s__Coriobacteriales_bacterium	INCOME2	-2,07E-02	1,48E-01	-1,40E-01	8,89E-01	2656	9,58E-01
s__Megasphaera_hutchinsoni	ALCOHOL_CAT	1,22E-02	9,03E-02	1,35E-01	8,93E-01	5279	9,59E-01
s__Streptococcus_anginosus	GRAVITY2	1,62E-02	1,21E-01	1,34E-01	8,93E-01	3991	9,59E-01
s__Sneathia_sanguinegens	GRAVITY2	2,27E-02	1,68E-01	1,35E-01	8,93E-01	3991	9,59E-01
s__Veillonella_montpellierensis	MENSTRUAL_PHASE_REG2	2,58E-02	1,90E-01	1,36E-01	8,92E-01	3657	9,59E-01
s__Sneathia_sanguinegens	PS_UTI	-2,10E-02	1,55E-01	-1,35E-01	8,92E-01	5217	9,59E-01
s__Finegoldia_magna	BIRTH_CONTROL2	3,18E-02	2,40E-01	1,32E-01	8,95E-01	889	9,59E-01
s__Veillonella_montpellierensis	INCOME2	1,59E-02	1,20E-01	1,33E-01	8,94E-01	2656	9,59E-01
s__Anaerococcus_tetradius	GRAVITY1	-1,86E-02	1,42E-01	-1,31E-01	8,96E-01	1854	9,59E-01
s__Coriobacteriales_bacterium	GRAVITY1	-2,11E-02	1,67E-01	-1,27E-01	8,99E-01	1854	9,60E-01
s__Prevotella_timonensis	MENSTRUAL_PHASE_REG2	-3,08E-02	2,41E-01	-1,28E-01	8,98E-01	3657	9,60E-01
s__Streptococcus_anginosus	WAISTLINE	9,45E-04	7,43E-03	1,27E-01	8,99E-01	1975	9,60E-01
s__Megasphaera_hutchinsoni	ADVERSE_PREGNANCY1	-1,56E-02	1,28E-01	-1,22E-01	9,03E-01	3704	9,60E-01
s__Prevotella_bivia	DRUG_ESTROGEN	-5,18E-02	4,31E-01	-1,20E-01	9,04E-01	4825	9,60E-01
s__Fusobacterium_nucleatum	EDU_CAT1	-6,97E-03	5,56E-02	-1,25E-01	9,00E-01	4412	9,60E-01
s__Aerococcus_christensenii	INCOME2	1,70E-02	1,36E-01	1,25E-01	9,01E-01	2656	9,60E-01
s__Streptococcus_anginosus	PS_UTI	-1,38E-02	1,13E-01	-1,22E-01	9,03E-01	5217	9,60E-01
s__Fusobacterium_nucleatum	SMOKING_CAT	1,52E-02	1,26E-01	1,20E-01	9,04E-01	5246	9,60E-01
f__Enterobacteriaceae	SMOKING_CAT	1,66E-02	1,37E-01	1,21E-01	9,04E-01	5246	9,60E-01
s__Sneathia_sanguinegens	BIRTH_CONTROL1	2,54E-02	2,17E-01	1,17E-01	9,07E-01	1275	9,61E-01
s__Bifidobacterium_dentium	MENSTRUAL_PHASE_REG3	-7,58E-03	6,46E-02	-1,17E-01	9,07E-01	3657	9,61E-01
s__Mageeibacillus_indolicus	INCOME2	-1,71E-02	1,47E-01	-1,16E-01	9,08E-01	2656	9,62E-01
s__Coriobacteriales_bacterium	PS_DIABETES	-3,62E-02	3,21E-01	-1,13E-01	9,10E-01	5297	9,63E-01
s__Megasphaera_lornae	EXA_ORDOR	-2,09E-02	1,90E-01	-1,10E-01	9,12E-01	4810	9,65E-01
s__Bifidobacterium_dentium	PS_HYPERTENSION	-1,99E-02	1,83E-01	-1,09E-01	9,13E-01	5296	9,65E-01
s__Bifidobacterium_dentium	ADVERSE_PREGNANCY2	-9,79E-03	1,05E-01	-9,33E-02	9,26E-01	3519	9,69E-01
s__Sneathia_amnii	ALCOHOL_CAT	1,00E-02	1,01E-01	9,95E-02	9,21E-01	5279	9,69E-01
s__Lactobacillus_vaginalis	DRUG_ANTIBIOTICS	3,44E-02	3,40E-01	1,01E-01	9,19E-01	4828	9,69E-01
s__Fusobacterium_nucleatum	DRUG_ANTIBIOTICS	1,69E-02	1,79E-01	9,43E-02	9,25E-01	4828	9,69E-01
s__Bifidobacterium_breve	DRUG_ANTIBIOTICS	-2,40E-02	2,63E-01	-9,11E-02	9,27E-01	4828	9,69E-01
s__Aerococcus_christensenii	DRUG_ANTIBIOTICS	2,88E-02	2,97E-01	9,71E-02	9,23E-01	4828	9,69E-01
s__Streptococcus_anginosus	EDU_CAT1	7,06E-03	7,79E-02	9,06E-02	9,28E-01	4412	9,69E-01
s__Aerococcus_christensenii	ETHINIC	-1,92E-02	1,96E-01	-9,83E-02	9,22E-01	5133	9,69E-01
s__Bifidobacterium_breve	EXA_CERECT	-9,30E-03	9,96E-02	-9,34E-02	9,26E-01	3625	9,69E-01
s__Coriobacteriales_bacterium	INCOME1	-1,43E-02	1,41E-01	-1,01E-01	9,19E-01	2471	9,69E-01
s__Prevotella_amnii	PARITY1	-1,59E-02	1,59E-01	-1,00E-01	9,20E-01	3122	9,69E-01
s__Tissierellia_bacterium	PARITY2	-1,55E-02	1,50E-01	-1,03E-01	9,18E-01	2832	9,69E-01
s__Ureaplasma_parvum	SYM_ABDPAIN	-1,05E-02	1,10E-01	-9,49E-02	9,24E-01	5321	9,69E-01
s__Prevotella_amnii	SYM_URIOSP	1,16E-02	1,28E-01	9,03E-02	9,28E-01	5300	9,69E-01
s__Veillonella_montpellierensis	SYM_YYD	-1,14E-02	1,26E-01	-9,05E-02	9,28E-01	5198	9,69E-01
s__Sneathia_sanguinegens	GRAVITY1	1,58E-02	1,77E-01	8,93E-02	9,29E-01	1854	9,69E-01
s__Bifidobacterium_dentium	EXA_CERDIS	9,21E-03	1,07E-01	8,63E-02	9,31E-01	4864	9,70E-01
s__Ureaplasma_parvum	GRAVITY1	-1,35E-02	1,55E-01	-8,72E-02	9,31E-01	1854	9,70E-01
s__Lactobacillus_iners	PS_DIABETES	1,22E-02	1,44E-01	8,51E-02	9,32E-01	5297	9,70E-01
s__Aerococcus_christensenii	EXA_CERBLE	-1,33E-02	1,62E-01	-8,23E-02	9,34E-01	4782	9,71E-01
s__Lactobacillus_jensenii	EXA_ORDOR	1,22E-02	1,48E-01	8,23E-02	9,34E-01	4810	9,71E-01
s__Prevotella_bivia	ADVERSE_PREGNANCY1	-1,01E-02	1,35E-01	-7,46E-02	9,40E-01	3704	9,71E-01
s__Lactobacillus_vaginalis	ADVERSE_PREGNANCY2	-1,37E-02	1,76E-01	-7,77E-02	9,38E-01	3519	9,71E-01
s__Atopobium_vaginae	ADVERSE_PREGNANCY2	9,10E-03	1,18E-01	7,69E-02	9,39E-01	3519	9,71E-01
s__Sneathia_sanguinegens	BMI	1,21E-03	1,49E-02	8,08E-02	9,36E-01	5437	9,71E-01
s__Dialister_micraerophilus	BMI	1,03E-03	1,39E-02	7,39E-02	9,41E-01	5437	9,71E-01
s__Megasphaera_lornae	INCOME1	1,08E-02	1,50E-01	7,16E-02	9,43E-01	2471	9,71E-01
s__Coriobacteriales_bacterium	MENSTRUAL_PHASE_REG3	8,18E-03	1,03E-01	7,96E-02	9,37E-01	3657	9,71E-01
s__Sneathia_amnii	PARITY1	1,09E-02	1,52E-01	7,16E-02	9,43E-01	3122	9,71E-01
s__Prevotella_timonensis	SYM_BLEDDING	-1,16E-02	1,62E-01	-7,18E-02	9,43E-01	5298	9,71E-01
s__Coriobacteriales_bacterium	SYM_URIOSP	-8,79E-03	1,21E-01	-7,26E-02	9,42E-01	5300	9,71E-01
f__Enterobacteriaceae	SYM_URIOSP	5,84E-03	7,41E-02	7,88E-02	9,37E-01	5300	9,71E-01
s__Prevotella_timonensis	EDU_CAT2	1,66E-02	2,44E-01	6,80E-02	9,46E-01	2506	9,73E-01
s__Sneathia_amnii	PS_DIABETES	2,19E-02	3,27E-01	6,70E-02	9,47E-01	5297	9,73E-01
s__Bifidobacterium_dentium	ADVERSE_PREGNANCY1	5,54E-03	8,69E-02	6,37E-02	9,49E-01	3704	9,75E-01
s__Sneathia_amnii	BIRTH_CONTROL2	2,37E-02	3,72E-01	6,37E-02	9,49E-01	889	9,75E-01
s__Streptococcus_anginosus	EXA_CERECT	-6,39E-03	1,06E-01	-6,05E-02	9,52E-01	3625	9,76E-01
s__Prevotella_colorans	PS_HYPERTENSION	-1,21E-02	2,03E-01	-5,98E-02	9,52E-01	5296	9,76E-01
s__Streptococcus_anginosus	MENSTRUAL_PHASE_REG3	4,53E-03	7,86E-02	5,76E-02	9,54E-01	3657	9,77E-01
s__Prevotella_colorans	WAISTLINE	-4,18E-04	7,37E-03	-5,67E-02	9,55E-01	1975	9,77E-01
s__Bifidobacterium_breve	ADVERSE_PREGNANCY1	6,02E-03	1,08E-01	5,56E-02	9,56E-01	3704	9,77E-01
s__Prevotella_bivia	BIRTH_CONTROL1	-9,99E-03	1,97E-01	-5,08E-02	9,60E-01	1275	9,79E-01
s__Allisonella_histaminiformans	EXA_CERECT	-6,99E-03	1,35E-01	-5,18E-02	9,59E-01	3625	9,79E-01
s__Fusobacterium_nucleatum	MENSTRUAL_REGULAR	4,37E-03	8,46E-02	5,16E-02	9,59E-01	4899	9,79E-01
s__Lactobacillus_gasseri	EXA_CERDIS	7,58E-03	1,76E-01	4,31E-02	9,66E-01	4864	9,84E-01
s__Lactobacillus_crispatus	MENSTRUAL_REGULAR	3,60E-03	8,31E-02	4,33E-02	9,65E-01	4899	9,84E-01
s__Megasphaera_hutchinsoni	BIRTH_CONTROL2	-1,30E-02	3,36E-01	-3,86E-02	9,69E-01	889	9,84E-01
s__Megasphaera_lornae	GRAVITY1	6,89E-03	1,80E-01	3,82E-02	9,70E-01	1854	9,84E-01
s__Sneathia_amnii	GRAVITY2	6,78E-03	1,64E-01	4,12E-02	9,67E-01	3991	9,84E-01
s__Aerococcus_christensenii	GRAVITY2	5,68E-03	1,47E-01	3,87E-02	9,69E-01	3991	9,84E-01
s__Lactobacillus_jensenii	PS_HYPERTENSION	-8,92E-03	2,31E-01	-3,86E-02	9,69E-01	5296	9,84E-01
s__Veillonella_montpellierensis	EXA_VAGWAL	6,31E-03	1,71E-01	3,68E-02	9,71E-01	4793	9,84E-01
g__Shuttleworthia	EXA_CERECT	-3,17E-03	9,15E-02	-3,46E-02	9,72E-01	3625	9,85E-01
s__Aerococcus_christensenii	PARITY2	5,16E-03	1,50E-01	3,43E-02	9,73E-01	2832	9,85E-01
s__Mageeibacillus_indolicus	GRAVITY1	-4,67E-03	1,70E-01	-2,74E-02	9,78E-01	1854	9,88E-01
s__Prevotella_colorans	MENSTRUAL_PHASE_REG1	-2,12E-03	7,40E-02	-2,86E-02	9,77E-01	3657	9,88E-01
s__Coriobacteriales_bacterium	MENSTRUAL_PHASE_REG1	2,89E-03	1,03E-01	2,80E-02	9,78E-01	3657	9,88E-01
s__Veillonella_montpellierensis	WAISTLINE	2,08E-04	7,84E-03	2,66E-02	9,79E-01	1975	9,88E-01
s__Ureaplasma_parvum	INCOME1	-2,98E-03	1,23E-01	-2,43E-02	9,81E-01	2471	9,89E-01
s__Fusobacterium_nucleatum	ADVERSE_PREGNANCY1	1,84E-03	7,95E-02	2,32E-02	9,82E-01	3704	9,89E-01
s__Sneathia_amnii	ADVERSE_PREGNANCY2	2,80E-03	1,73E-01	1,62E-02	9,87E-01	3519	9,92E-01
f__Enterobacteriaceae	BMI	1,50E-04	8,73E-03	1,72E-02	9,86E-01	5437	9,92E-01
s__Coriobacteriales_bacterium	PS_HYPERTENSION	-4,90E-03	2,83E-01	-1,74E-02	9,86E-01	5296	9,92E-01
s__Gardnerella_vaginalis	PS_UTI	-1,32E-03	9,65E-02	-1,37E-02	9,89E-01	5217	9,94E-01
s__Lactobacillus_vaginalis	INCOME1	-1,48E-03	1,46E-01	-1,01E-02	9,92E-01	2471	9,95E-01
s__Dialister_micraerophilus	MENSTRUAL_PHASE_REG3	1,03E-03	9,86E-02	1,05E-02	9,92E-01	3657	9,95E-01
s__Bifidobacterium_dentium	SMOKING_CAT	-9,69E-04	1,45E-01	-6,69E-03	9,95E-01	5246	9,97E-01
s__Lactobacillus_jensenii	DRUG_ESTROGEN	1,31E-03	3,69E-01	3,54E-03	9,97E-01	4825	9,98E-01
s__Bifidobacterium_dentium	EXA_CERECT	3,17E-04	8,77E-02	3,61E-03	9,97E-01	3625	9,98E-01
f__Enterobacteriaceae	MENSTRUAL_PHASE_REG2	-2,20E-04	1,43E-01	-1,54E-03	9,99E-01	3657	9,99E-01
